Company Pair,Count
"('Suncor', 'Twitter')",232
"('BP', 'Shell')",201
"('Chevron', 'Shell')",172
"('BP', 'Chevron')",154
"('ExxonMobil', 'Shell')",143
"('Chevron', 'ExxonMobil')",141
"('Baytex', 'Eagle Ford')",124
"('BP', 'ExxonMobil')",117
"('Keystone', 'Twitter')",115
"('Kinder Morgan', 'Twitter')",115
"('BP', 'Equinor')",113
"('Equinor', 'Shell')",108
"('Enbridge', 'Keystone')",96
"('Keystone', 'Kinder Morgan')",84
"('Halliburton', 'SLB')",83
"('Shell', 'TotalEnergies')",78
"('Chevron', 'Equinor')",77
"('Baker Hughes', 'SLB')",75
"('Chevron', 'Occidental')",71
"('Equinor', 'ExxonMobil')",67
"('Alliance', 'Pembina')",66
"('ESG', 'i3 Energy')",65
"('Eastern', 'Enbridge')",64
"('ConocoPhillips', 'Shell')",64
"('Baker Hughes', 'Halliburton')",63
"('Cheniere Energy', 'Venture Global')",63
"('Chesapeake', 'Southwestern Energy')",62
"('ESG', 'Saturn')",61
"('Chevron', 'ConocoPhillips')",60
"('Royal Dutch Shell', 'Shell')",58
"('BP', 'TotalEnergies')",56
"('Enerplus', 'Twitter')",55
"('Alliance', 'Enbridge')",54
"('ExxonMobil', 'TotalEnergies')",54
"('Baker Hughes', 'GE')",53
"('ConocoPhillips', 'Eagle Ford')",52
"('ExxonMobil', 'Woods')",52
"('Pembina', 'Whitecap')",52
"('ExxonMobil', 'Stabroek')",52
"('ConocoPhillips', 'ExxonMobil')",51
"('Eastern', 'Keystone')",51
"('Equinor', 'TotalEnergies')",50
"('Cenovus', 'Suncor')",49
"('Chevron', 'TotalEnergies')",47
"('Cenovus', 'Phillips 66')",45
"('Eastern', 'Peyto Exploration & Development')",45
"('Cameron', 'Cheniere Energy')",44
"('Alliance', 'ESG')",44
"('Continental', 'Equinor')",44
"('ARC Resources', 'Pembina')",43
"('Bonterra Energy', 'Pembina')",43
"('BP', 'Rystad Energy')",42
"('Mitsubishi', 'Shell')",42
"('Cheniere Energy', 'Freeport LNG')",42
"('BP', 'ConocoPhillips')",41
"('Enbridge', 'Twitter')",40
"('BP', 'Occidental')",40
"('ExxonMobil', 'FPSO')",40
"('Baytex', 'Pembina')",40
"('Eastern', 'TransGlobe Energy Corporation')",40
"('ESG', 'Eastern')",40
"('SLB', 'Shell')",40
"('Obsidian Energy', 'Pembina')",39
"('BP', 'Baker Hughes')",39
"('Enbridge', 'Kinder Morgan')",39
"('Cenovus', 'ConocoPhillips')",38
"('BG', 'Shell')",38
"('ExxonMobil', 'Imperial Oil')",38
"('Baker Hughes', 'Enverus')",38
"('Saudi Aramco', 'Shell')",38
"('BP', 'Continental')",38
"('PLC', 'i3 Energy')",37
"('Aker BP', 'BP')",37
"('Repsol', 'Shell')",37
"('BP', 'SLB')",37
"('CNOOC', 'ExxonMobil')",37
"('Eagle Ford', 'Pembina')",36
"('ESG', 'McDaniel & Associates Consultants')",35
"('Alberta Energy Regulator', 'Twitter')",35
